uniqueid,rating,exp,element,expexpct,direxp,expexpect,expabout,strategyq1,strat2,dirstrat,strategyq2,strategyq1_categories,strategyq1_primary_category,strategyq2_categories,strategyq2_primary_category,strategy_overall_category
A195MOXRMNHRVT:3DI28L7YXAFYO96CG161Q9KTKR41EB,Liking_Rating,Experience,4,0,0,don't know,not sure,skip if it was taking too long for the amount,0,0,how much I liked it,Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A1AQK667NBERJ1:3P4RDNWND57HZVO2292YFOE760QIJI,Liking_Rating,No_Experience,9,0,0,If i liked or disliked the calligraphy.,How these mad me feel,,0,0,I judged how I liked them. They were very interesting.,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1BXEU20OCUGVZ:3IXQG4FA2TZI6BXNANJ447WRF6E9BR,Value_Rating,No_Experience,3,0,0,You expected me to choose what I thought the estimated value of the calligraphy was.,I have no idea.,,0,0,I did not.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1CSWN23S8BHQY:3AMYWKA6YBNF7MKYGLLEQH5OW4T6OL,Liking_Rating,No_Experience,10,0,0,No idea,Not sure,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A1CTOT46Y4W11J:3MAOD8E57QBA8G4IGTURB5I33YJNXD,Value_Rating,Experience,8,0,0,,,I chose the quickest routes to get paid and skipped the slow ones.,0,0,I was just guessing every time.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Random Guessing,Random Guessing,Skip / Move On Quickly + Random Guessing
A1EI4NMV2EHSIY:30IQTZXKAK77NKCBFNST0TMQV4NX0P,Liking_Rating,Experience,7,0,0,I don't know,I don't know,I skipped the 100 ones or ones that were too slow,0,0,"no, not really",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A1GKA4IFL7S3CX:3QFUFYSY9YG7MM3RYU996PCW8CS4F8,Liking_Rating,Experience,8,0,0,I don't think it was to exactly rate them. But it was something else that wasn't explained.,I'm not really sure. If anything it would be about perception,Click as fast as I could,0,0,How nice it looked to me.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow) + Aesthetic Preference / Liking-Based
A1GVGOWYO5DLZO:3LRLIPTPEQAX4XBM86AXZ5Q18HLAK5,Value_Rating,No_Experience,9,0,0,Which one I liked better,Estimating art,,0,0,The one I liked more was worth more,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1GYO6CJMVA9ZA:3P529IW9KYM3KUAC4M8QS6E7UW3FLO,Value_Rating,No_Experience,4,0,0,I was expected to estimate the value of the works of calligraphy.,"I have no idea, it's very hard to tell.",,0,0,I based it on the attractiveness of the calligraphy and sometimes on how powerful the calligraphy looked.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1MMC6X3ZNJ9OT:3QY5DC2MXRL63KX6D00RJTAQ7PKUFP,Liking_Rating,Experience,8,0,0,To see if we would be able to figure out how it works. I think it was more of a ruse than not.,To see how people resond to stimulation that you don't have any control over,hitting the arrow key as fast as I could,0,0,Not really only going by what I thought was asthetically pleasing.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Other,Other,Speed-Based Selection (Fast/Slow) + Other
A1O0BGHFTMPQM0:30MVJZJNHMEOOUVZYFWL2VF4NBR9JG,Value_Rating,Experience,6,0,0,don't know,don't now,I tried to get the highest ones unless it seemed like it would take forever to get there.,0,0,no,Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based + No Strategy / Not Specified
A1QIY6QY1LL12O:3D3VGR7TA0GJ7GPWPB4KD9Y9X07R35,Value_Rating,No_Experience,3,0,0,What the calligraphy might  be worth.,evaluate different designs of calligraphy.,,0,0,Just estimated what it might be worth.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1R8A1ZKR80MRA:37XITHEISWA7KGLFI4FL6C233C0CR2,Value_Rating,Experience,9,0,0,I don't know,no idea,I skipped the ones that moved really slowly and also sometimes the ones that only earned $100,0,0,I tried to remember if I had seen them before and guess their value.,Skip / Move On Quickly,Skip / Move On Quickly,Random Guessing; Memory / Mnemonic / Recall,Random Guessing,Skip / Move On Quickly + Random Guessing
A1T83SZBP2DN65:3F0BG9B9MPOA50255IZ4YM3M5P87YS,Liking_Rating,No_Experience,4,0,0,The more ornate pictures would be worth more,Determining subjective views of calligraphy,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A1U9XDXABUUTOV:3ZR9AIQJUBAGPIO1VCQO3IPS29J04E,Liking_Rating,Experience,6,0,0,Skip low payments and go for high payments,How annoying can a game be?,If it took more than 7 clicks to move 25% of the way skip,0,0,nope,Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A1UNMIB2YFBMMS:3JAOYWH7VI5UJKJZ108YIASWRZ79LR,Liking_Rating,No_Experience,9,0,0,Not sure,Not sure other than how fast to get to them,,0,0,The more intricate the better,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A1UY2W2FL9CWN:3U84XHCDICEDR3URZ63G9HSEKF24Z8,Value_Rating,No_Experience,4,0,0,I have absolutely no idea.,How we valued the characters,,0,0,,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A1XLZ5TQ0J8OYC:3137ONMDKG6VSOWFYKR4XWOZME3EG0,Value_Rating,Experience,9,0,0,Develop a strategy.,Patterns,"At first, just to get to the calligraphy. Then I started skipping over low valued or ones where I move too slow.",0,0,"No, strictly guessing.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Random Guessing,Random Guessing,Skip / Move On Quickly + Random Guessing
A1YILFU07P6DND:3BDCF01OGXV9KLR79C0EHRLN08RYL4,Liking_Rating,No_Experience,4,0,0,Not sure,Not sure,,0,0,Gut feeling,No Strategy / Not Specified,No Strategy / Not Specified,Intuition / Gut Feeling,Intuition / Gut Feeling,No Strategy / Not Specified + Intuition / Gut Feeling
A21S6AU76IFMKK:3BDCF01OGXV9KLR79C0EHRLN07TYL4,Value_Rating,Experience,7,0,0,no expectations,no idea,Getting fast guys or high amounts,0,0,How they looked,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Other,Other,Speed-Based Selection (Fast/Slow) + Other
A21T7YH1PNOXF6:30X31N5D63RVSGOUDFJZQRHBPCLSAT,Value_Rating,No_Experience,7,0,0,,,,0,0,,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A23JA6ICO4BPQ5:3DZQRBDBSLGV8VP9404P3J35J073SI,Value_Rating,Experience,6,0,0,To maximize our earnings.,How people make tradeoffs about time vs. collecting money.,Seeing how long it would take me to get there by progress made on first couple of moves and comparing to the total value.,0,0,I just put everything as 500 because I didn't remember what the values were.,Other,Other,Memory / Mnemonic / Recall,Memory / Mnemonic / Recall,Other + Memory / Mnemonic / Recall
A26OCMKWPBFVHV:3IXEICO792KVKEP6C27DKRBBVBL6TG,Value_Rating,Experience,9,0,0,Not sure as well.,not sure.,Just mash as fast as I could as skipping wastes time and could lead to something worse.,0,0,"Started with lines, but then got to the point of need 6+ so went with brush strokes",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Visual / Spatial Cue,Visual / Spatial Cue,Skip / Move On Quickly + Visual / Spatial Cue
A278NFL4DYN322:3AAPLD8UCCIBH39N8LYHHI014QMTHR,Liking_Rating,No_Experience,4,0,0,Relate to the pictures and analyze them,How people interpret calligraphy,,0,0,No I did not use a strategy,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A29KUIEVPK8WB4:3S06PH7KSR5TW3SCK6VHKR28KEH1DU,Liking_Rating,No_Experience,4,0,0,see if time to move affected ratings,how we like different styles,,0,0,no strategy,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A2AGQGMZVSZVUJ:3TS1AR6UQQF459LA0S7G91W6ZEI7FV,Liking_Rating,Experience,10,0,0,Try to make a lot of money.,not sure,going fast!,0,0,How good they looked.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Other,Other,Speed-Based Selection (Fast/Slow) + Other
A2C39KTRMOM1XZ:3LO69W1SU3E9YU67F6E8AREJVC2GLP,Liking_Rating,No_Experience,4,0,0,I dont know,I dont know,,0,0,no just choosing the ones I liked,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2CNXQG6YYHTDF:382M9COHEHGEX6XAIPGL1BPQVMGUEE,Value_Rating,Experience,9,0,0,I tried to collect as many points as possible in a limited time without losing my focus!,"It was really a test of my patience :). It started as fun, but I got tired fairly quickly pressing that right arrow key...","If I didn't move fast enough to the right, I hit the ""S"" key to skip the round, otherwise I kept pressing the arrow key",0,0,"Not really, but I tried to estimate how much work it would take to make the symbol. Thanks!",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Visual / Spatial Cue,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A2HCKWFKLJAMRG:337RC3OW053SGRW241DUASHTIRPVLS,Liking_Rating,No_Experience,4,0,0,Rate them after moving the character to the right.,I don't know.,,0,0,Based on what types of emotional response I got from viewing the painting.,No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based,Pattern Or Rule-Based,No Strategy / Not Specified + Pattern Or Rule-Based
A2J6MMNWUJQUXS:3Z2R0DQ0JHF5DUO8Z56FVSUYCVX2E4,Value_Rating,No_Experience,4,0,0,I think you wanted to see how we felt about each piece of calligraphy.,How we value certain images.,,0,0,"No, I just went with my gut feelings and by how attractive the calligraphy was to me.",No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A2JJHLWZKVOPQQ:3NPFYT4IZC54YONWTPHWLL962MWXGE,Liking_Rating,No_Experience,9,0,0,tell you if I like the work? Not sure what is being asked here.,To see if having to put in more effort changes our perspective of the value of the items we are getting,,0,0,"No, I just gave a subjective number on whether I liked it or not. I did like more complex drawings though.",No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2LMA8XT8YEMXX:3BWI6RSP7GACZVLE5HNARJB6NBJ7EP,Value_Rating,No_Experience,7,0,0,to know the knowledge of calligraphy,to know the capacity of estimating judgement of a person,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A2ML7RIEEP744Z:3300DTYQT2IM5DQT1GWGRAS1S3VQEU,Liking_Rating,Experience,7,0,0,don't know,no idea,disable number lock and use right arrow and 6 on the tenkey simultaneously.,0,0,"no strategy, just went with my gut",Counting / Quantitative Cue; Visual / Spatial Cue,Counting / Quantitative Cue,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue + No Strategy / Not Specified
A2NL38BFEE3BVY:3LEP4MGT3G1U91A4M3O6Q3FH6Q9DBQ,Liking_Rating,Experience,4,0,0,I don't know,I don't know,"I pressed ""s"" when the amount was below $300.",0,0,no,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue + No Strategy / Not Specified
A2RB4WF5CDMEL9:3YW4XOSQKQMFD53Y61L6UR6W6FY1US,Liking_Rating,Experience,8,0,0,I have no idea!,Trying my patience!,Just getting through it!  Skipping low paying  ones.,0,0,I just did what I could to make it end! Very boring!,Skip / Move On Quickly,Skip / Move On Quickly,Fatigue / Discomfort Adjustment,Fatigue / Discomfort Adjustment,Skip / Move On Quickly + Fatigue / Discomfort Adjustment
A2RMJNF6IPI42F:3OB0CAO74HQ7YP8HIRLGPZSGJS4HY4,Value_Rating,No_Experience,5,0,0,not sure,effort vs worth,,0,0,less work to get to it = higher value,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A2RRBSTJ7H3G2B:3JV9LGBJWTFH4F94SYU028IDQH7GO6,Value_Rating,No_Experience,4,0,0,You expected a guess on the value of the art,A new type of game,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A2S5GPVIUV8RJI:3LOTDFNYA70JVOMB80FS1HVNS5WFWA,Value_Rating,Experience,9,0,0,skip slow rooms not sure about calligraphy,unsure,"hit the button fast , skip slow rooms",0,0,no basically random guesses,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Random Guessing,Random Guessing,Skip / Move On Quickly + Random Guessing
A2S75O867RJG0I:3EICBYG644XQMS22AZ6C4LGCTV5JCG,Liking_Rating,Experience,7,0,0,Try to remember the value from the game.,What you remembered about the value of something.,"If the money was low and he did not move fast, I skipped the room",0,0,I liked the full figures better like the ones on my wall.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A2SNMMSKX224GR:3VHHR074H3IQ51V6M3AE4E1QW9K7LE,Liking_Rating,No_Experience,4,0,0,You expected us to rate the calligraphy on our own personal scale.,To see what people think about certain types of calligraphy perhaps but probably not....not sure what the purpose of this was.,,0,0,"How nice or ""beautiful"" they actual calligraphy looked to me.",No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2SYRFPPV9WDEG:3AUQQEL7U5UFJV7GF8RBC8P5FUZV06,Value_Rating,No_Experience,6,0,0,,effort and value,,0,0,,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A2TT6FAIWFD25N:3137ONMDKG6VSOWFYKR4XWOZMF8GE9,Value_Rating,Experience,10,0,0,To testing about fingers speed and knowledge,To know about peoples opinion,Try to reach the room as soon as possible,0,0,I just give the best guess,Other,Other,Random Guessing,Random Guessing,Other + Random Guessing
A2W1C5PDHUF25O:3K4J6M3CXEUS2BF3IFPI1DY811RAGR,Liking_Rating,Experience,8,0,0,I'm not sure.,I don't know,If it was to slow I skipped the round and did the new one.,0,0,no,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A2WLGVXAVT2XTR:3WETL7AQWT9U2TRYS4RHA8TD5HY53J,Liking_Rating,Experience,7,0,0,I think you expected me to like the calligraphy that was worth more.,To see how had I would work to reach a goal.,Go as fast as I can.,0,0,No.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow) + No Strategy / Not Specified
A3037FNBVPPAY9:36ZN444YTRZV06FZIMU3NKVT5UZOI6,Liking_Rating,Experience,6,0,0,Not sure,unsure,get there fast,0,0,No strategy,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow) + No Strategy / Not Specified
A31A4YKVSOYRVS:339ANSOTR53CAFUKKU2AG3EKLPQIKH,Liking_Rating,No_Experience,6,0,0,not sure,not sure,,0,0,,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A31VV1PIYCL1TW:3XUHV3NRVKZ9W1YX7PGJE2UNOMG5HQ,Value_Rating,No_Experience,4,0,0,"I assumed, as the instructions stated, my goal was to collect each work of calligraphy and then estimate it's value.  I just followed the instructions, clicked right until I reached my target and then assigned a $ value based on what I estimated the value to be.","I assume this was a test to see if the harder it was to reach the target, the more I would value the end goal.",,0,0,"I treated the calligraphy as ""art"" so I valued the symbols that felt more pleasing to me visually as a higher $ value item.",No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A33FTA12Y9YBC5:3PJUZCGDJ6HZ4DZG7BZUD56Q7Z8985,Liking_Rating,Experience,5,0,0,None,No idea,Not a special stratigy,0,0,Not a special stratigy,Other,Other,Other,Other,Other
A34FJBQDKVH8SR:3II4UPYCOJ8HD7CT5LLWLSAGSRUQD1,Liking_Rating,No_Experience,4,0,0,"Press buttons to move toward a goal, then see if that part affected preferences on the 2nd part of judging calligraphy.",To observe perceptions about calligraphy.,,0,0,No.,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A36IHPJUOP6ZAT:31HQ4X3T3SBCOZFYA68PZ5XMJO0LSK,Liking_Rating,Experience,7,0,0,Not sure,Not sure,Skip the ones that the dude moved slow.,0,0,No strategy just a feeling,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A37XJVQF62ZYC:3RWE2M8QWHB2BQY7DH5K2RVSTPFN0V,Liking_Rating,No_Experience,4,0,0,"I did not know what was expected, so I just guessed what you wanted.",I really have no idea!,,0,0,"My only ""plan"" was to rate the calligraphy based on my opinion of the aesthetics.",No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A38DXFI1TZA295:3BQU611VFPLZIIIQC358D111R5Q99U,Liking_Rating,Experience,4,0,0,I think you thought we would rate the ones that brought in the most money as the most beautiful,How the money value of the works in part 1 influenced our perception of their beauty,I skipped the rounds where the guy was moving very slowly irregardless of the amount.,0,0,"No, I just went by what I found pleasing to my eye.",Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A38R7SIVV118KT:37TD41K0AHAJLVLSXTFQWM7ZPF3CSC,Liking_Rating,Experience,4,0,0,go as fast as possible and make as much money as possible,your motivation based on the speed it went,skip the low pay ones unless it moved fast,0,0,none,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A3A09BYPV7T4SN:38F71OA9GTXNQCSX4Y95SJTWU3DFME,Value_Rating,Experience,9,0,0,I don't know,I'm not sure,"I tried to choose ones that were either valued very highly, or that were easy to get to",0,0,"No, I just guessed randomly",Other,Other,Random Guessing,Random Guessing,Other + Random Guessing
A3C3Q963MQDPGT:3NKQQ8O39Y6950JAMU51VT75VC0DUT,Liking_Rating,Experience,4,0,0,I am not sure.,I have no idea.,I just hit the arrow as fast as I could.,0,0,I did not have a strategy.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Other,Other,Speed-Based Selection (Fast/Slow) + Other
A3CF8ULBSE8MTL:3YOH7BII098HWLEKJ11TVS4ETRKVKP,Liking_Rating,No_Experience,7,0,0,unsure,unsure,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A3ELAQAWWJ9LW:3YDTZAI2WXHGW79JRVUOHN8271O14H,Liking_Rating,Experience,4,0,0,You may expect that we rate the paintings higher when we are able to reach them than the ones that disappear before we can get there.,I think this experiment is testing possibly how we feel about the calligraphy subconsciously.,"My strategy for maximizing earnings was to try to determine which rounds were going to be too slow to get to the calligraphy.  Some rounds I was moving too slow to get to the painting, I tried to skip as many of those as possible.",0,0,I just rated the paintings on how much I personally liked them.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Skip / Move On Quickly,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A3GM78FCDY293T:3KOPY89HM8329S6JH6VBBICINJ1J3T,Liking_Rating,Experience,4,0,0,I wonder if I subconsciously was supposed to get a sense for or memory of which pieces of calligraphy were more valuable during the collection stage and then rate those more highly in the rating stage.,The strategies players would use in collecting calligraphy and how much players would like particular pieces of calligraphy.,"I pushed the arrow button as fast as I could. I hardly skipped, and only did so when my icon was moving slowly and the calligraphy was worth very little.",0,0,I just went with my first impression of how much I liked it.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A3H0SBQIXF9ZTZ:3OJSZ2ATDSXC3CSLUGU7NP5TAIL57N,Value_Rating,No_Experience,9,0,0,Answer like I did.,Seeing if difficulty of reaching a task improves a person's perception.,,0,0,I honestly didn't know. I figured that the pieces of calligraphy with the most markings were the most expensive.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A3I3JQX0P2F0K3:3OE22WJIGIP3U9NFRGBLVSE4EQ4QUO,Value_Rating,Experience,7,0,0,I honestly have no idea - something about our motivations and how we judge the images in the second part of the study.,Our motivations and memory.,"Watching how fast the little guy moved, if it was slow and the value was low, I skipped.",0,0,"I didn't have one, I wasn't focused too much on the images the first time. I tried my best, but there really wasn't sttrategy.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Focused Attention / Careful Look,Skip / Move On Quickly,Focused Attention / Careful Look,Focused Attention / Careful Look,Skip / Move On Quickly + Focused Attention / Careful Look
A3JEKW2YDW2HPZ:3OONKJ5DKCKLDY1TCC2M1XRGA4FBOK,Liking_Rating,No_Experience,4,0,0,"to rate the complex ones high, while giving the simple ones a low score.","annoying us with pressing buttons, then having us judge based on looks",,0,0,"Yes, how stylish yet simple it appeared.",No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A3JTMXHPNCUFNX:31LM9EDVOLT9DWZTZPFQKWAOSZJJNY,Liking_Rating,Experience,6,0,0,See how fast we accomplish goal?,Not sure,Try to go as fast as I could and not skip rooms,0,0,"Not really, just went with instinct",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Intuition / Gut Feeling,Intuition / Gut Feeling,Skip / Move On Quickly + Intuition / Gut Feeling
A3LFVI65XV1T46:3PZDLQMM0TMQGW4U3E0K54UVRKK2CD,Liking_Rating,Experience,7,0,0,I don't know,I really have no idea,Just moving as fast as possible,0,0,I didn't even try to estimate,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Other,Other,Speed-Based Selection (Fast/Slow) + Other
A3M43ST1JU11T9:3TMFV4NEP8FAG9CO0M9MRPE15ZV8WU,Liking_Rating,No_Experience,3,0,0,I don't see the point of moving the guy toward the calligraphy. It didn't make the slightest difference in how I thought about the calligraphy.,I can't imagine,,0,0,"Based on the angles and the amount of interesting angles, but also slightly because of the meanings of the characters, especially heaven, self, and child",No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based; Counting / Quantitative Cue,Pattern Or Rule-Based,No Strategy / Not Specified + Pattern Or Rule-Based
A3PQUGIQQBPR98:3IFS6Q0HJIKAYY7SP3BC7P5U2KMSIT,Liking_Rating,Experience,10,0,0,opinions,choices,the don't nothing,0,0,no,Other,Other,No Strategy / Not Specified,No Strategy / Not Specified,Other + No Strategy / Not Specified
A3R9ADF2CS0CF4:33JKGHPFYCVZE45E2MSI0O25WUZNMT,Value_Rating,Experience,5,0,0,Consumer study,Consumer research study,Skip room if moving too slow.  Skip room if the money is too low.,0,0,I tried to remember the value as much as possible.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Memory / Mnemonic / Recall,Memory / Mnemonic / Recall,Skip / Move On Quickly + Memory / Mnemonic / Recall
A3RRDLX4HYGGPR:34Z02EIMISE0633RADRWBQ1KI70T01,Liking_Rating,No_Experience,6,0,0,To make it to the painting?,About people's ide's on calligraphy,,0,0,I didn't have a strategy,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A3S1TLYMH9WWUG:3QY7M81QH7NFLVDO13YDPEOB79F7KB,Liking_Rating,No_Experience,9,0,0,I think you expected faster arrow hits for calligraphy perceived as more valuable.,How rapidly you will continue to press the arrow even if you know you'll get to the end anyway.,,0,0,I was going to estimate the value based on the complexity of the piece.,No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based,Pattern Or Rule-Based,No Strategy / Not Specified + Pattern Or Rule-Based
A3TEILK2DFCMSK:3N4BPTXIO8THJ6PKEBROZ62VFLWUKM,Liking_Rating,Experience,4,0,0,"the longer it took, the less I would like something",feelings towards the amount of time it took vs end goal,"skipping $100 if it was too slow, otherwise pressing that key as fast as possible!",0,0,I took a sumi ink painting and calligraphy class in college so it effected my personal feelings towards many of them. So beautiful.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A3VRDQJNM1IC0E:3XXU1SWE8MWVR74I4D0FGLBSUKZ0AB,Liking_Rating,No_Experience,4,0,0,You expected us to rate the calligraphy,What we would value the calligraphy  as,,0,0,It was just if was appealing to me,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A58QOLDFC179Q:3KB8R4ZV1E8XLLKVOTPEWOIEJHPGB1,Liking_Rating,No_Experience,4,0,0,not sure,Interesting,,0,0,I did not have a strategy or plan.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A79ON3CGDXXQG:3P1L2B7AD1QXQ7N53PRGF0NLMXVOLK,Liking_Rating,No_Experience,7,0,0,knowledge of calligraphy works,this experiment is about the how intelligent a person is,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A95FPT0MGOVYG:39LNWE0K4UXQDBZWE86CMQNINGTIUJ,Liking_Rating,Experience,4,0,0,play the game and rate the calligraphy,to know the quickness and alertness of a person,to finish accurately and as early as possible,0,0,no,Other,Other,No Strategy / Not Specified,No Strategy / Not Specified,Other + No Strategy / Not Specified
